capability_id,capa,estado_actual,evidencia,overlap_candidates,score_total,recomendacion_final,justificacion_breve,riesgo_cambio,esfuerzo_estimado,governance_gap
integration.record.reconcile,operational,stable,source_refs:6@c:\Users\Usuario\agent-skill-registry\docs\CAPABILITY_100_TARGET_SET.md,"integration.record.compare, integration.record.create, integration.record.delete",4,merge,solapamiento alto; consolidar contrato en capability troncal,medio,L,sin_consumidor_activo_verificable|evidencia_documental_no_operativa|sujeta_a_racionalizacion_portafolio
integration.record.compare,operational,stable,source_refs:7@c:\Users\Usuario\agent-skill-registry\docs\CAPABILITY_100_TARGET_SET.md,"integration.record.create, integration.record.delete, integration.record.reconcile",5,merge,solapamiento alto; consolidar contrato en capability troncal,medio,L,sin_consumidor_activo_verificable|evidencia_documental_no_operativa|sujeta_a_racionalizacion_portafolio
integration.record.create,operational,stable,source_refs:7@c:\Users\Usuario\agent-skill-registry\docs\CAPABILITY_100_TARGET_SET.md,"integration.record.compare, integration.record.delete, integration.record.reconcile",5,merge,solapamiento alto; consolidar contrato en capability troncal,medio,L,sin_consumidor_activo_verificable|evidencia_documental_no_operativa|sujeta_a_racionalizacion_portafolio
integration.record.update,operational,stable,source_refs:7@c:\Users\Usuario\agent-skill-registry\docs\CAPABILITY_100_TARGET_SET.md,"integration.record.compare, integration.record.create, integration.record.delete",5,merge,solapamiento alto; consolidar contrato en capability troncal,medio,L,sin_consumidor_activo_verificable|evidencia_documental_no_operativa|sujeta_a_racionalizacion_portafolio
integration.record.upsert,operational,stable,source_refs:6@c:\Users\Usuario\agent-skill-registry\docs\CAPABILITY_100_TARGET_SET.md,"integration.record.compare, integration.record.create, integration.record.delete",5,merge,solapamiento alto; consolidar contrato en capability troncal,medio,L,sin_consumidor_activo_verificable|evidencia_documental_no_operativa|sujeta_a_racionalizacion_portafolio
integration.record.delete,operational,stable,source_refs:7@c:\Users\Usuario\agent-skill-registry\docs\CAPABILITY_100_TARGET_SET.md,"integration.record.compare, integration.record.create, integration.record.reconcile",6,merge,solapamiento alto; consolidar contrato en capability troncal,medio,L,sin_consumidor_activo_verificable|evidencia_documental_no_operativa|sujeta_a_racionalizacion_portafolio
data.record.join,operational,stable,source_refs:6@c:\Users\Usuario\agent-skill-registry\CHANGELOG.md,"data.record.deduplicate, data.record.merge, data.record.transform",8,deprecate,evidencia insuficiente para exposición externa,medio,S,sin_consumidor_activo_verificable|evidencia_documental_no_operativa|sujeta_a_racionalizacion_portafolio
data.record.merge,operational,stable,source_refs:6@c:\Users\Usuario\agent-skill-registry\CHANGELOG.md,"data.record.deduplicate, data.record.join, data.record.transform",9,deprecate,evidencia insuficiente para exposición externa,medio,S,sin_consumidor_activo_verificable|evidencia_documental_no_operativa|sujeta_a_racionalizacion_portafolio
identity.permission.gate,governance,stable,source_refs:6@c:\Users\Usuario\agent-skill-registry\docs\CAPABILITY_100_TARGET_SET.md,"identity.permission.get, identity.permission.list, identity.permission.verify",9,deprecate,evidencia insuficiente para exposición externa,medio,S,sin_consumidor_activo_verificable|evidencia_documental_no_operativa|sujeta_a_racionalizacion_portafolio
identity.permission.list,governance,stable,source_refs:6@c:\Users\Usuario\agent-skill-registry\docs\CAPABILITY_100_TARGET_SET.md,"identity.permission.gate, identity.permission.get, identity.permission.verify",9,deprecate,evidencia insuficiente para exposición externa,medio,S,sin_consumidor_activo_verificable|evidencia_documental_no_operativa|sujeta_a_racionalizacion_portafolio
